1.#INF00;1.#INF00;9.944306e-001;0.002000
2.705086;1.239831;6.735872e-004;0.027000
2.583733;1.184211;6.724489e-004;0.028000
2.601321;1.192272;6.713249e-004;0.028000
2.508124;1.149557;6.702152e-004;0.029000
1.478155;0.677488;6.691195e-004;0.050000
2.786283;1.277046;6.680376e-004;0.026000
2.358897;1.081161;6.669695e-004;0.031000
2.526097;1.157795;6.659148e-004;0.030000
2.201154;1.008862;6.648735e-004;0.034000
1.589996;0.728748;6.638454e-004;0.047000
2.570257;1.178034;6.628304e-004;0.028000
2.608554;1.195587;6.618282e-004;0.029000
2.025504;0.928356;6.608387e-004;0.036000
2.955495;1.354602;6.598618e-004;0.026000
2.675228;1.226146;6.588973e-004;0.027000
2.486704;1.139739;6.579451e-004;0.029000
2.478581;1.136016;6.570049e-004;0.031000
2.715736;1.244713;6.560767e-004;0.027000
2.278275;1.044209;6.551604e-004;0.033000
2.434908;1.116000;6.542556e-004;0.030000
2.420219;1.109267;6.533625e-004;0.031000
2.406741;1.103090;6.524806e-004;0.031000
2.417930;1.108218;6.516101e-004;0.030000
2.477406;1.135478;6.507506e-004;0.031000
2.748196;1.259590;6.499021e-004;0.027000
2.520198;1.155091;6.490644e-004;0.031000
2.692280;1.233962;6.482374e-004;0.029000
2.315257;1.061160;6.474209e-004;0.031000
2.331094;1.068418;6.466149e-004;0.033000
2.566368;1.176252;6.458192e-004;0.029000
2.464310;1.129475;6.450336e-004;0.031000
2.374869;1.088482;6.442581e-004;0.033000
2.631762;1.206224;6.434925e-004;0.031000
2.354517;1.079154;6.427367e-004;0.033000
2.278150;1.044152;6.419906e-004;0.033000
2.661887;1.220031;6.412541e-004;0.030000
2.517912;1.154043;6.405269e-004;0.032000
2.552101;1.169713;6.398091e-004;0.030000
2.663327;1.220691;6.391005e-004;0.030000
2.446537;1.121330;6.384010e-004;0.031000
1.905012;0.873130;6.377104e-004;0.041000
2.676344;1.226658;6.370287e-004;0.029000
2.234107;1.023966;6.363557e-004;0.037000
2.424316;1.111145;6.356914e-004;0.032000
2.254816;1.033457;6.350356e-004;0.034000
2.431565;1.114467;6.343883e-004;0.032000
2.120744;0.972008;6.337492e-004;0.037000
2.214817;1.015124;6.331184e-004;0.037000
2.483957;1.138480;6.324956e-004;0.032000
2.455088;1.125249;6.318809e-004;0.033000
2.760039;1.265018;6.312741e-004;0.030000
2.484614;1.138781;6.306751e-004;0.032000
1.787770;0.819395;6.300838e-004;0.046000
2.318513;1.062652;6.295001e-004;0.035000
2.184966;1.001443;6.289239e-004;0.036000
2.145863;0.983520;6.283552e-004;0.038000
2.165473;0.992508;6.277937e-004;0.035000
1.840390;0.843512;6.272395e-004;0.043000
1.933039;0.885976;6.266925e-004;0.041000
2.478264;1.135871;6.261524e-004;0.033000
2.229948;1.022059;6.256194e-004;0.036000
1.999273;0.916333;6.250932e-004;0.041000
2.045779;0.937649;6.245738e-004;0.038000
1.970096;0.902961;6.240612e-004;0.041000
2.426698;1.112237;6.235551e-004;0.035000
2.155745;0.988050;6.230556e-004;0.037000
1.831918;0.839629;6.225625e-004;0.044000
2.017479;0.924678;6.220757e-004;0.040000
1.885895;0.864369;6.215953e-004;0.042000
2.112164;0.968075;6.211211e-004;0.039000
2.088923;0.957423;6.206530e-004;0.039000
1.364796;0.625532;6.201909e-004;0.059000
1.421105;0.651340;6.197348e-004;0.058000
2.411374;1.105213;6.192847e-004;0.034000
1.984146;0.909400;6.188403e-004;0.043000
2.126792;0.974779;6.184017e-004;0.039000
2.187645;1.002671;6.179687e-004;0.038000
2.296941;1.052764;6.175414e-004;0.038000
2.085155;0.955696;6.171196e-004;0.039000
2.164927;0.992258;6.167032e-004;0.039000
2.684377;1.230340;6.162923e-004;0.030000
2.579065;1.182071;6.158866e-004;0.032000
2.610983;1.196700;6.154863e-004;0.032000
2.642696;1.211236;6.150911e-004;0.032000
2.563906;1.175123;6.147010e-004;0.033000
2.613280;1.197753;6.143159e-004;0.033000
2.584996;1.184790;6.139359e-004;0.033000
2.791017;1.279216;6.135608e-004;0.030000
2.339507;1.072274;6.131905e-004;0.036000
2.701892;1.238367;6.128251e-004;0.032000
2.623602;1.202484;6.124644e-004;0.032000
